sex,age,address,traveltime,studytime,failures,schoolsup,activities,internet,romantic,freetime,goout,Dalc,Walc,health,G3
1,16,0,2,1,0,0,1,1,0,4,2,1,1,5,13
1,17,1,3,2,1,0,1,1,0,2,4,1,4,5,8
1,15,0,1,1,0,0,0,1,0,4,3,1,2,4,13
0,15,0,1,2,0,0,0,1,0,2,3,1,2,1,15
1,15,0,1,4,0,0,1,1,0,5,4,1,2,5,15
0,16,0,2,2,0,0,1,1,1,2,2,1,2,5,13
1,16,0,1,1,0,0,1,1,0,4,4,1,4,5,13
0,16,0,1,2,0,0,0,1,1,4,4,1,1,5,8
1,15,0,1,1,0,1,0,1,0,5,5,3,2,5,12
0,15,0,1,2,0,1,1,1,1,3,2,1,1,1,11
0,19,0,1,2,3,0,0,0,0,4,2,1,1,5,9
1,16,1,1,1,0,0,1,1,0,5,5,2,5,4,18
0,17,0,1,1,0,0,0,1,1,4,4,1,3,5,12
0,16,0,1,1,0,0,0,1,0,2,1,1,4,5,11
1,16,0,1,2,1,0,0,0,1,4,4,1,3,5,12
0,15,0,2,1,0,0,1,1,0,3,2,1,1,5,15
1,16,0,2,1,2,0,1,1,0,3,3,2,2,2,9
0,15,0,1,3,0,0,1,1,0,2,2,1,1,5,11
0,16,0,1,1,0,0,0,1,0,4,4,3,3,1,13
0,15,0,1,2,0,0,0,1,0,4,2,1,2,5,11
0,15,0,1,2,0,0,0,1,0,3,2,1,1,5,11
1,15,0,4,1,3,0,0,1,0,5,5,2,5,5,10
1,16,0,1,1,1,0,1,0,1,4,4,3,5,5,14
0,15,1,2,3,2,0,1,1,1,2,1,2,3,3,10
0,17,0,1,1,0,1,0,0,1,2,1,1,1,4,12
1,15,1,1,2,0,1,1,0,0,4,4,1,1,1,8
1,17,1,1,1,0,0,0,0,0,2,2,3,3,5,13
0,18,1,3,1,3,0,1,0,0,2,5,1,5,4,10
1,16,1,3,1,0,0,0,0,0,2,2,1,2,3,15
1,16,0,1,2,1,0,0,1,1,5,5,4,4,5,12
1,15,1,2,2,2,1,0,1,1,4,4,1,4,3,7
1,17,0,1,1,0,0,0,1,0,3,3,1,4,2,10
1,17,1,4,2,3,0,1,0,1,3,5,1,5,5,7
1,16,0,2,1,1,0,1,0,0,5,2,1,1,2,12
1,16,0,1,2,0,0,0,1,0,3,5,2,4,4,10
0,16,0,1,2,0,0,0,1,1,2,3,1,1,3,16
0,16,0,1,2,0,0,0,1,1,4,2,1,1,3,14
1,16,0,2,2,0,0,1,1,1,3,2,1,1,3,16
1,17,0,1,2,0,0,1,1,0,4,4,1,3,5,10
0,16,0,2,2,0,0,1,1,0,4,5,1,1,4,9
1,17,0,2,2,0,0,1,1,0,4,4,4,4,4,9
0,16,0,2,2,0,0,1,1,0,4,4,1,4,5,11
1,17,0,1,2,0,0,1,1,0,3,4,1,4,4,6
1,16,1,1,1,0,0,1,1,1,3,3,3,4,3,9
1,17,0,1,2,0,0,1,1,1,2,3,1,1,2,11
1,16,0,1,2,0,0,1,1,0,4,3,2,3,3,8
1,16,0,1,2,0,0,1,1,1,2,3,1,2,3,12
0,17,0,1,2,0,0,1,0,0,4,2,2,3,5,17
0,17,0,1,2,0,0,1,1,1,3,3,2,3,1,8
0,16,0,1,2,0,0,0,1,0,2,2,1,2,1,12
1,17,0,1,2,0,0,1,1,1,3,4,2,3,4,11
1,16,0,1,1,0,0,1,1,1,3,3,1,2,3,11
1,16,0,1,2,0,0,1,1,1,2,3,1,2,5,15
0,17,0,1,2,0,0,0,1,1,3,3,1,3,3,9
1,17,1,1,2,0,0,0,0,0,1,3,1,5,3,10
0,16,0,1,2,0,0,0,1,0,3,3,1,1,2,13
0,17,0,1,2,0,0,1,1,0,3,3,1,1,3,9
1,17,0,2,2,0,0,1,1,0,4,4,4,5,5,8
1,16,1,1,1,0,0,1,1,0,3,2,3,4,5,10
1,16,0,2,1,0,0,0,1,0,3,3,1,1,3,14
0,17,0,1,2,0,0,1,1,1,3,2,1,1,5,15
1,17,0,1,1,0,0,0,1,0,2,3,1,2,5,16
1,16,1,3,1,0,0,1,1,0,3,4,3,5,3,10
0,17,0,2,1,1,0,0,1,0,2,4,2,3,2,18
0,16,0,1,2,0,0,0,1,0,5,2,1,2,3,10
0,16,0,1,2,0,0,1,1,0,3,5,1,5,2,16
0,16,0,1,2,0,1,1,0,0,4,3,1,3,4,10
0,17,0,1,2,0,0,0,0,0,4,4,1,3,1,10
0,17,1,1,1,0,0,0,1,0,3,2,1,2,3,6
0,16,1,2,4,0,0,1,1,0,3,5,1,1,5,11
0,17,0,1,3,1,0,0,1,1,4,3,3,4,5,9
0,16,0,1,2,3,0,0,1,0,3,3,2,2,4,7
0,16,0,1,2,0,0,1,1,1,3,2,1,1,1,13
0,16,0,2,1,0,0,0,0,0,3,2,1,4,5,10
0,17,1,2,3,0,0,1,1,1,4,2,1,1,4,7
0,19,0,1,4,0,0,1,1,0,3,3,1,2,3,8
1,17,0,1,2,0,0,0,1,1,3,5,4,5,3,13
0,16,0,1,2,0,1,0,1,0,3,4,1,1,4,14
1,18,0,1,2,1,0,1,1,0,4,4,2,4,5,8
0,17,1,1,1,0,0,0,0,0,2,1,1,2,3,10
0,17,0,2,2,0,0,0,1,0,4,4,1,3,1,15
0,17,0,1,2,2,0,0,1,1,4,5,2,4,1,4
1,18,0,1,2,1,0,0,1,0,2,4,2,4,4,8
0,17,0,2,1,0,0,0,0,0,3,3,1,4,3,8
0,17,0,1,3,0,0,1,1,0,3,3,1,1,4,10
0,17,1,2,2,0,0,1,1,0,2,5,1,2,5,6
0,16,0,1,2,0,1,0,1,0,3,1,1,1,3,17
1,18,0,2,2,0,0,0,1,0,3,3,5,5,4,13
0,16,0,1,3,0,0,1,1,0,3,2,1,1,5,14
0,18,1,1,2,1,0,1,1,1,3,3,1,1,4,7
0,17,0,1,2,0,0,1,1,0,3,4,1,3,3,15
1,17,0,1,2,0,0,0,1,0,3,3,1,3,3,12
1,18,0,4,2,0,1,1,1,1,3,2,4,5,3,9
0,17,0,2,3,0,0,1,1,1,2,3,1,2,3,12
0,17,0,1,2,0,0,1,1,1,2,3,1,2,3,14
1,17,1,2,2,0,0,1,1,0,5,2,1,1,1,11
1,17,0,1,2,0,1,1,1,1,5,5,1,3,2,9
1,16,0,1,2,0,0,1,1,0,2,4,2,4,1,13
1,16,0,2,2,0,0,0,1,0,4,2,1,1,5,6
1,16,0,2,3,0,0,1,1,1,3,3,1,3,2,10
1,17,0,1,2,0,0,1,1,1,4,2,5,5,4,13
0,16,0,1,1,0,0,0,1,1,5,2,1,1,5,12
0,17,1,3,2,0,0,1,0,0,1,1,1,1,3,11
1,17,0,2,2,0,0,1,1,1,5,5,1,4,5,12
1,17,1,2,2,0,0,0,1,0,3,3,2,3,4,12
1,16,0,1,1,0,0,1,1,0,3,2,1,2,5,12
1,16,0,3,1,0,0,0,1,0,3,3,1,1,4,18
1,17,0,2,1,0,0,0,1,0,2,2,1,1,2,13
1,22,0,1,1,3,0,0,1,1,4,5,5,5,1,8
1,18,1,1,2,1,0,0,1,1,3,3,1,3,5,5
1,16,0,1,1,0,0,0,1,0,3,2,2,4,5,15
1,18,0,2,1,1,0,0,1,0,4,5,2,4,5,8
1,16,0,3,2,0,1,0,1,0,3,3,1,3,2,10
1,18,0,1,1,1,0,0,1,0,2,5,2,5,5,8
1,16,1,2,1,0,0,1,0,0,3,2,1,3,3,8
1,17,1,1,1,0,0,0,1,0,4,2,2,4,5,12
1,17,0,2,1,1,0,1,1,0,4,4,1,2,5,8
0,17,0,1,4,0,0,1,1,0,2,3,1,1,4,13
1,19,0,1,2,0,0,0,1,0,3,1,1,1,1,11
1,18,0,1,2,0,0,1,1,0,2,4,1,2,4,14
0,18,0,1,2,0,0,0,1,1,1,2,1,3,2,18
1,18,0,1,2,0,0,0,1,0,3,2,1,1,3,8
1,18,1,1,3,0,0,1,0,0,3,2,1,1,3,12
0,17,0,1,3,0,0,1,0,0,2,3,1,1,4,9
1,18,1,2,2,0,0,1,1,0,2,5,3,4,1,17
1,17,0,1,2,0,0,1,1,1,4,4,3,4,5,10
0,18,1,2,2,0,0,1,1,0,3,4,2,2,4,11
1,18,0,1,2,0,0,1,1,1,4,5,1,3,5,10
0,19,0,1,2,2,0,1,1,0,3,5,3,3,5,9
0,18,0,1,4,0,0,1,1,1,5,5,1,3,2,14
0,18,0,2,2,0,0,0,0,0,4,3,1,1,3,11
1,17,1,1,2,0,0,1,0,1,5,2,2,2,1,14
0,17,0,2,2,0,0,0,1,1,3,3,1,1,1,10
0,17,0,2,2,0,1,0,1,1,4,4,2,3,5,12
0,18,1,2,2,0,0,0,1,1,1,1,1,1,5,9
1,18,0,2,1,0,0,1,1,0,2,4,1,4,3,9
0,18,0,1,2,1,1,1,1,1,4,4,1,1,4,8
1,18,0,2,1,0,0,1,1,0,2,3,1,2,1,10
1,17,0,2,1,0,0,1,1,1,5,4,2,4,5,8
1,17,0,1,1,1,0,0,1,0,4,4,3,4,3,10
0,18,1,2,4,0,0,1,0,0,2,2,1,1,3,12
0,18,0,2,2,0,1,1,1,0,4,4,1,1,4,10
0,17,0,1,2,0,0,0,1,0,4,5,1,2,5,11
1,17,0,1,2,0,0,0,1,0,3,3,1,2,4,11
0,18,0,1,3,0,0,0,1,0,3,3,1,2,2,19
0,17,0,1,3,0,0,0,1,0,3,3,1,1,3,12
1,18,0,1,3,0,0,1,1,0,2,4,1,3,2,14
1,18,0,1,2,0,0,1,1,0,4,3,1,1,2,15
1,18,0,1,2,0,0,1,1,1,3,2,1,4,5,11
0,17,0,1,3,0,0,0,1,0,2,2,1,2,3,15
0,18,0,1,2,1,0,0,1,1,4,3,1,1,5,13
0,17,1,2,4,0,0,0,0,0,1,2,1,1,3,18
1,18,1,2,3,0,0,1,1,0,4,2,1,1,4,14
1,17,0,1,1,0,0,0,1,0,4,3,1,3,5,11
0,18,0,2,2,0,0,0,1,1,4,5,1,2,2,8
0,18,0,1,4,0,0,0,1,0,3,3,1,1,3,14
1,18,0,1,1,0,0,0,1,1,4,2,2,2,1,16
0,18,0,1,2,0,0,0,1,1,2,4,1,1,4,11
1,17,0,2,1,0,0,0,1,0,1,1,2,2,5,10
0,17,0,2,3,0,0,0,1,0,3,3,1,1,3,14
0,17,0,1,4,0,0,1,1,0,2,2,1,2,5,18
1,19,0,1,2,1,0,1,1,1,4,4,1,1,3,13
0,18,0,1,2,1,0,1,1,0,4,3,1,1,3,12
1,20,0,1,1,0,0,1,0,0,5,3,1,1,5,18
1,19,0,2,1,1,0,0,1,1,3,4,1,1,4,8
1,19,1,1,2,1,0,1,0,1,5,3,1,2,5,12
0,19,0,1,2,1,1,1,1,0,4,3,1,3,3,10
0,19,0,3,2,0,0,0,1,1,4,1,1,1,2,13
1,19,0,1,2,1,0,0,1,0,5,2,2,2,4,11
0,19,0,2,2,1,0,0,1,1,2,2,1,2,1,11
0,19,0,1,3,2,0,0,1,1,1,2,1,1,3,13
0,19,1,1,3,1,0,0,1,1,1,2,1,1,3,11
0,18,0,1,3,0,0,1,1,1,3,4,1,1,5,9
0,17,1,1,3,0,0,1,1,0,3,4,2,5,5,10
0,18,0,1,2,0,0,0,1,0,4,4,3,3,5,11
0,17,0,1,2,0,0,0,1,1,2,2,1,2,5,13
0,17,0,1,2,0,0,0,0,1,2,2,1,1,3,9
0,17,1,1,3,0,0,1,1,0,3,2,2,2,3,11
0,17,0,1,3,0,0,0,1,0,4,3,2,3,5,15
0,17,0,2,3,0,0,0,1,0,3,3,2,3,2,15
1,18,0,1,3,0,0,1,1,0,3,3,2,2,3,11
1,17,0,1,1,0,0,1,1,0,3,5,3,5,5,16
1,17,1,4,1,0,0,0,1,0,4,5,5,5,4,10
0,17,0,1,3,0,0,1,1,0,4,4,1,3,4,9
0,17,0,2,3,0,0,0,1,1,3,3,1,2,4,14
1,18,0,1,4,0,0,1,1,0,5,5,2,4,5,8
0,17,1,1,3,0,0,0,1,1,4,3,1,1,5,14
0,17,0,1,3,0,0,0,1,0,4,5,1,3,5,15
0,19,1,1,3,1,0,0,0,0,4,3,1,2,5,13
0,18,0,1,4,0,0,0,1,0,3,3,1,1,1,17
0,17,1,1,2,0,0,0,1,0,3,3,2,3,2,10
0,19,0,1,3,1,0,1,1,1,3,4,1,3,3,11
1,18,0,1,2,0,0,1,1,1,3,3,1,3,5,15
0,18,0,1,3,0,0,0,1,0,3,3,1,2,3,10
0,18,0,1,3,0,0,0,1,1,4,3,2,3,1,14
1,18,1,1,3,0,0,0,1,1,3,2,1,2,4,16
1,18,0,1,3,0,0,0,1,1,4,5,2,3,5,9
0,17,0,1,3,0,0,1,1,1,4,3,1,3,4,15
1,18,1,2,1,1,0,0,1,0,5,5,5,5,5,13
1,19,1,3,2,3,0,0,1,0,4,4,3,3,2,8
1,17,0,2,2,0,0,0,1,0,5,4,2,3,3,13
1,18,0,1,1,1,0,0,1,1,3,3,2,3,3,8
1,19,1,3,1,1,0,0,1,0,4,4,3,3,5,8
1,17,1,2,2,0,0,1,1,1,5,5,1,3,2,11
0,18,0,1,2,0,0,0,0,1,3,4,1,1,5,9
0,17,1,2,2,0,0,1,1,0,3,3,1,2,5,13
0,17,0,2,2,0,0,0,0,1,2,3,1,2,5,11
1,18,0,2,1,0,0,0,1,1,3,2,1,2,3,10
0,18,0,2,3,0,0,0,1,0,3,2,1,1,4,16
0,18,1,3,2,0,0,0,0,1,3,4,1,4,5,13
1,18,1,2,2,1,0,1,0,0,4,3,2,3,5,12
0,18,0,2,2,0,0,0,1,1,3,2,1,3,3,10
0,17,0,1,2,0,0,1,1,1,3,4,1,1,1,15
0,17,1,2,2,0,0,0,0,0,2,2,1,2,3,12
1,18,1,2,2,0,0,0,0,0,3,4,2,4,3,10
1,18,0,2,3,0,0,0,1,1,2,2,2,2,5,13
0,18,0,2,1,0,0,0,1,1,2,3,1,2,4,10
0,18,1,3,2,0,0,0,1,1,2,2,4,2,5,11
0,19,0,2,2,2,0,1,0,1,2,2,1,1,3,9
1,18,1,3,1,0,0,1,1,1,3,3,2,3,3,12
0,17,0,1,3,0,0,1,0,1,4,3,1,1,3,11
0,17,1,1,1,0,0,1,1,0,5,5,1,3,1,5
0,18,1,2,3,0,0,0,1,0,4,4,1,1,1,19
0,18,1,4,3,0,0,0,1,0,3,2,1,2,4,10
0,20,0,2,3,2,0,0,1,1,4,3,1,1,3,15
0,18,1,1,2,0,0,1,1,0,4,3,3,4,2,10
0,18,0,1,2,0,0,0,1,1,1,3,1,2,1,15
0,17,1,1,2,0,0,1,1,0,5,4,2,3,1,10
1,18,0,1,2,0,0,1,1,0,2,4,1,4,2,14
1,18,1,2,1,0,0,1,1,1,4,3,1,3,5,7
1,17,0,2,2,0,0,1,1,0,4,3,1,1,3,10
1,18,1,2,1,1,0,0,0,0,4,3,4,3,3,5
0,18,1,2,3,0,0,0,0,0,3,3,1,3,4,10
0,18,1,3,1,0,0,1,1,1,4,3,2,2,5,6
0,18,0,1,2,0,0,0,1,0,3,4,1,1,1,8
1,20,0,1,2,2,0,0,0,0,5,4,4,5,4,9
1,17,0,2,1,0,0,0,1,0,4,5,3,4,2,16
1,21,1,1,1,3,0,0,0,0,5,3,3,3,3,7
1,18,1,3,1,0,0,0,1,0,4,1,3,4,5,10
1,19,0,1,1,0,0,0,1,0,2,3,3,3,5,9
